diet_sex,diet_category_group,diet_category,diet_age_group,diet_estimate_000
Persons,Usual daily consumption of vegetables,4 serves,55–64,270.4
Persons,Usual daily consumption of vegetables,5 serves,55–64,161.1
Persons,Usual daily consumption of vegetables,6 or more serves,55–64,99.9
Persons,Usual daily consumption of vegetables,Total persons aged 18 years and over,55–64,2973.3
Persons,Usual daily consumption of vegetables,Average number of serves of fruit,55–64,1.5
Persons,Usual daily consumption of vegetables,Average number of serves of vegetables,55–64,2.3
Persons,Usual daily consumption of vegetables,"Total persons, 18 years and over",55–64,2973.3
Males,Daily consumption of fruit,Met recommendation,55–64,590.2
Males,Daily consumption of fruit,Did not meet recommendation,55–64,859.6
Males,Daily consumption of fruit,Total males aged 18 years and over,55–64,1445.2
Males,Daily consumption of vegetables,Met recommendation,55–64,27.4
Males,Daily consumption of vegetables,Did not meet recommendation,55–64,1427.0
Males,Daily consumption of vegetables,Total males aged 18 years and over,55–64,1445.2
Males,Daily consumption of fruit and vegetables,Met recommendation,55–64,13.6
Males,Daily consumption of fruit and vegetables,Did not meet recommendation,55–64,1439.3
Males,Daily consumption of fruit and vegetables,Total males aged 18 years and over,55–64,1445.2
Males,Usual daily consumption of fruit,Does not eat fruit,55–64,251.4
Males,Usual daily consumption of fruit,Less than 1 serve,55–64,37.6
Males,Usual daily consumption of fruit,1 serve,55–64,569.7
Males,Usual daily consumption of fruit,2 serves,55–64,371.5
Males,Usual daily consumption of fruit,3 serves,55–64,156.5
Males,Usual daily consumption of fruit,4 serves,55–64,42.3
Males,Usual daily consumption of fruit,5 or more serves,55–64,21.6
Males,Usual daily consumption of fruit,Total males aged 18 years and over,55–64,1445.2
Males,Usual daily consumption of vegetables,Does not eat vegetables,55–64,42.6
Males,Usual daily consumption of vegetables,Less than 1 serve,55–64,39.1
Males,Usual daily consumption of vegetables,1 serve,55–64,461.1
Males,Usual daily consumption of vegetables,2 serves,55–64,444.4
Males,Usual daily consumption of vegetables,3 serves,55–64,281.2
Males,Usual daily consumption of vegetables,4 serves,55–64,101.6
Males,Usual daily consumption of vegetables,5 serves,55–64,60.7
Males,Usual daily consumption of vegetables,6 or more serves,55–64,27.4
Males,Usual daily consumption of vegetables,Total males aged 18 years and over,55–64,1445.2
Males,Usual daily consumption of vegetables,Average number of serves of fruit,55–64,1.4
Males,Usual daily consumption of vegetables,Average number of serves of vegetables,55–64,2.1
Males,Usual daily consumption of vegetables,"Total males, 18 years and over",55–64,1445.2
Females,Daily consumption of fruit,Met recommendation,55–64,739.5
Females,Daily consumption of fruit,Did not meet recommendation,55–64,788.1
Females,Daily consumption of fruit,Total females aged 18 years and over,55–64,1529.0
Females,Daily consumption of vegetables,Met recommendation,55–64,173.4
Females,Daily consumption of vegetables,Did not meet recommendation,55–64,1347.7
